coalition_id,members,size,mean_value,std_value,runs,notes
108,"('1', '4', '8')",3,0.47367527014731675,0.0075865787832175985,20,scenario=levinthal1997;N=10;K=3;trials=20
109,"('1', '4', '9')",3,0.534185270077694,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
110,"('1', '5', '6')",3,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
111,"('1', '5', '7')",3,0.5196351508487244,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
112,"('1', '5', '8')",3,0.48053758885633596,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
113,"('1', '5', '9')",3,0.5929715185446256,2.220446049250313e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
114,"('1', '6', '7')",3,0.5570435823564969,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
115,"('1', '6', '8')",3,0.5774067502080678,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
116,"('1', '6', '9')",3,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
117,"('1', '7', '8')",3,0.5098607603506272,0.016929740955722593,20,scenario=levinthal1997;N=10;K=3;trials=20
118,"('1', '7', '9')",3,0.5975864265846387,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
119,"('1', '8', '9')",3,0.5248743806718693,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
120,"('2', '3', '4')",3,0.4119144996633664,0.013560785818887136,20,scenario=levinthal1997;N=10;K=3;trials=20
121,"('2', '3', '5')",3,0.43945283159911774,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
122,"('2', '3', '6')",3,0.41610460928128135,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
123,"('2', '3', '7')",3,0.4888166551940505,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
124,"('2', '3', '8')",3,0.47974342151316307,0.012256482530467516,20,scenario=levinthal1997;N=10;K=3;trials=20
125,"('2', '3', '9')",3,0.42376778229968337,0.04042395282009745,20,scenario=levinthal1997;N=10;K=3;trials=20
126,"('2', '4', '5')",3,0.4609503792062126,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
127,"('2', '4', '6')",3,0.43368869766352186,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
128,"('2', '4', '7')",3,0.4394741153564975,0.005121372324258999,20,scenario=levinthal1997;N=10;K=3;trials=20
129,"('2', '4', '8')",3,0.5941143110456192,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
130,"('2', '4', '9')",3,0.4329211791746981,0.03678454382899835,20,scenario=levinthal1997;N=10;K=3;trials=20
131,"('2', '5', '6')",3,0.3932465505930355,0.02156383992856199,20,scenario=levinthal1997;N=10;K=3;trials=20
132,"('2', '5', '7')",3,0.4317698210064604,0.014683548385983403,20,scenario=levinthal1997;N=10;K=3;trials=20
133,"('2', '5', '8')",3,0.42705997721222577,0.03898798610985393,20,scenario=levinthal1997;N=10;K=3;trials=20
134,"('2', '5', '9')",3,0.5024340110395334,0.049275539750967975,20,scenario=levinthal1997;N=10;K=3;trials=20
135,"('2', '6', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
136,"('2', '6', '8')",3,0.40946105460318705,0.043747557501008644,20,scenario=levinthal1997;N=10;K=3;trials=20
137,"('2', '6', '9')",3,0.46315984234343005,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
138,"('2', '7', '8')",3,0.45557637443525045,0.008252068551139117,20,scenario=levinthal1997;N=10;K=3;trials=20
139,"('2', '7', '9')",3,0.5354981652192323,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
140,"('2', '8', '9')",3,0.4654601171498788,0.0013968792663875335,20,scenario=levinthal1997;N=10;K=3;trials=20
141,"('3', '4', '5')",3,0.4502547347890765,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
142,"('3', '4', '6')",3,0.45050236617860834,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
143,"('3', '4', '7')",3,0.4888166551940505,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
144,"('3', '4', '8')",3,0.5867486772263147,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
145,"('3', '4', '9')",3,0.4595835694888672,0.021392155324523467,20,scenario=levinthal1997;N=10;K=3;trials=20
146,"('3', '5', '6')",3,0.43945283159911774,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
147,"('3', '5', '7')",3,0.46166655221683756,0.024558192162252766,20,scenario=levinthal1997;N=10;K=3;trials=20
148,"('3', '5', '8')",3,0.4928371231244646,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
149,"('3', '5', '9')",3,0.4943110869471785,0.0447915779273517,20,scenario=levinthal1997;N=10;K=3;trials=20
150,"('3', '6', '7')",3,0.4888166551940505,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
151,"('3', '6', '8')",3,0.48873722086492843,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
152,"('3', '6', '9')",3,0.4349267025061409,0.023052262146001055,20,scenario=levinthal1997;N=10;K=3;trials=20
153,"('3', '7', '8')",3,0.4887848814624016,3.891471488192042e-05,20,scenario=levinthal1997;N=10;K=3;trials=20
154,"('3', '7', '9')",3,0.5168255612091595,0.022869175996862494,20,scenario=levinthal1997;N=10;K=3;trials=20
155,"('3', '8', '9')",3,0.4752548518081833,0.011008308237638249,20,scenario=levinthal1997;N=10;K=3;trials=20
156,"('4', '5', '6')",3,0.4081390803770015,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
157,"('4', '5', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
158,"('4', '5', '8')",3,0.46528799172518215,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
159,"('4', '5', '9')",3,0.5416851603691775,2.220446049250313e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
160,"('4', '6', '7')",3,0.43687479713858324,0.016590573807656078,20,scenario=levinthal1997;N=10;K=3;trials=20
161,"('4', '6', '8')",3,0.4424284271859099,0.027997134431718747,20,scenario=levinthal1997;N=10;K=3;trials=20
162,"('4', '6', '9')",3,0.5439534070016916,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
163,"('4', '7', '8')",3,0.4530454872089022,0.008983542293541074,20,scenario=levinthal1997;N=10;K=3;trials=20
164,"('4', '7', '9')",3,0.5354981652192323,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
165,"('4', '8', '9')",3,0.5642780621317394,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
166,"('5', '6', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
167,"('5', '6', '8')",3,0.37374132347967437,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
168,"('5', '6', '9')",3,0.530883257179219,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
169,"('5', '7', '8')",3,0.43501330120079407,0.01401116484609306,20,scenario=levinthal1997;N=10;K=3;trials=20
170,"('5', '7', '9')",3,0.5336522020032269,0.0022608339815800393,20,scenario=levinthal1997;N=10;K=3;trials=20
171,"('5', '8', '9')",3,0.530883257179219,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
172,"('6', '7', '8')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
173,"('6', '7', '9')",3,0.5354981652192323,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
174,"('6', '8', '9')",3,0.5241927671580502,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
175,"('7', '8', '9')",3,0.5181902753570125,0.029978144613170967,20,scenario=levinthal1997;N=10;K=3;trials=20
176,"('0', '1', '2', '3')",4,0.4345957066740854,0.015097917798826155,20,scenario=levinthal1997;N=10;K=3;trials=20
177,"('0', '1', '2', '4')",4,0.4859967566737973,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
178,"('0', '1', '2', '5')",4,0.4929330579945388,0.04600995305858391,20,scenario=levinthal1997;N=10;K=3;trials=20
179,"('0', '1', '2', '6')",4,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
180,"('0', '1', '2', '7')",4,0.5196351508487244,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
181,"('0', '1', '2', '8')",4,0.6007738633101549,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
182,"('0', '1', '2', '9')",4,0.5248743806718693,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
183,"('0', '1', '3', '4')",4,0.44010387931298284,0.01459023801157949,20,scenario=levinthal1997;N=10;K=3;trials=20
184,"('0', '1', '3', '5')",4,0.48842978810280935,0.03391701643143617,20,scenario=levinthal1997;N=10;K=3;trials=20
